,Soluciones,Acciones,Escenario,Horizonte,Porcentajes USD,TORRES INTERVENIDAS
0,SOLUCIONES ITCO,Revegetalización,SSP2 4.5,2020-2040,354000.0,23.6
1,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP2 4.5,2020-2040,41300.0,1.18
2,SOLUCIONES ITCO,Monitoreo,SSP2 4.5,2020-2040,1770.0,1.18
3,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP2 4.5,2020-2040,236000.0,1.18
4,SOLUCIONES ITCO,Obras mayores (Variantes),SSP2 4.5,2020-2040,1770000.0,1.18
5,SOLUCIONES ITCO,Revegetalización,SSP2 4.5,2020-2040,3000000.0,200.0
6,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP2 4.5,2020-2040,350000.0,10.0
7,SOLUCIONES ITCO,Monitoreo,SSP2 4.5,2020-2040,15000.0,10.0
8,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP2 4.5,2020-2040,2000000.0,10.0
9,SOLUCIONES ITCO,Obras mayores (Variantes),SSP2 4.5,2020-2040,15000000.0,10.0
10,SOLUCIONES GAIA,Techos Verdes,SSP2 4.5,2020-2040,347156.0,23.6
11,SOLUCIONES GAIA,Revision y Mantenimiento,SSP2 4.5,2020-2040,9658.300000000001,1.1800000000000002
12,SOLUCIONES GAIA,Refuerzo Estructural,SSP2 4.5,2020-2040,16797.3,1.18
13,SOLUCIONES GAIA,Muros de contención natural,SSP2 4.5,2020-2040,28113.5,1.18
14,SOLUCIONES GAIA,Techos Verdes,SSP2 4.5,2020-2040,2942000.0,200.0
15,SOLUCIONES GAIA,Revision y Mantenimiento,SSP2 4.5,2020-2040,81850.0,10.0
16,SOLUCIONES GAIA,Refuerzo Estructural,SSP2 4.5,2020-2040,142350.0,10.0
17,SOLUCIONES GAIA,Muros de contención natural,SSP2 4.5,2020-2040,238250.0,10.0
18,SOLUCIONES ITCO,Revegetalización,SSP2 4.5,2040-2060,828000.0,55.2
19,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP2 4.5,2040-2060,96600.0,2.76
20,SOLUCIONES ITCO,Monitoreo,SSP2 4.5,2040-2060,4140.0,2.76
21,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP2 4.5,2040-2060,552000.0,2.76
22,SOLUCIONES ITCO,Obras mayores (Variantes),SSP2 4.5,2040-2060,4140000.0,2.76
23,SOLUCIONES ITCO,Revegetalización,SSP2 4.5,2040-2060,8160000.0,544.0
24,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP2 4.5,2040-2060,952000.0,27.2
25,SOLUCIONES ITCO,Monitoreo,SSP2 4.5,2040-2060,40800.0,27.2
26,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP2 4.5,2040-2060,5440000.0,27.2
27,SOLUCIONES ITCO,Obras mayores (Variantes),SSP2 4.5,2040-2060,40800000.0,27.2
28,SOLUCIONES GAIA,Techos Verdes,SSP2 4.5,2040-2060,811992.0,55.2
29,SOLUCIONES GAIA,Revision y Mantenimiento,SSP2 4.5,2040-2060,22590.600000000002,2.7600000000000002
30,SOLUCIONES GAIA,Refuerzo Estructural,SSP2 4.5,2040-2060,39288.6,2.76
31,SOLUCIONES GAIA,Muros de contención natural,SSP2 4.5,2040-2060,65757.0,2.76
32,SOLUCIONES GAIA,Techos Verdes,SSP2 4.5,2040-2060,8002240.0,544.0
33,SOLUCIONES GAIA,Revision y Mantenimiento,SSP2 4.5,2040-2060,222632.0,27.2
34,SOLUCIONES GAIA,Refuerzo Estructural,SSP2 4.5,2040-2060,387192.0,27.2
35,SOLUCIONES GAIA,Muros de contención natural,SSP2 4.5,2040-2060,648040.0,27.2
36,SOLUCIONES ITCO,Revegetalización,SSP3 7.0,2020-2040,540000.0,36.0
37,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP3 7.0,2020-2040,63000.0,1.8
38,SOLUCIONES ITCO,Monitoreo,SSP3 7.0,2020-2040,2700.0,1.8
39,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP3 7.0,2020-2040,360000.0,1.8
40,SOLUCIONES ITCO,Obras mayores (Variantes),SSP3 7.0,2020-2040,2700000.0,1.8
41,SOLUCIONES ITCO,Revegetalización,SSP3 7.0,2020-2040,435000.0,29.0
42,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP3 7.0,2020-2040,50750.0,1.45
43,SOLUCIONES ITCO,Monitoreo,SSP3 7.0,2020-2040,2175.0,1.45
44,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP3 7.0,2020-2040,290000.0,1.45
45,SOLUCIONES ITCO,Obras mayores (Variantes),SSP3 7.0,2020-2040,2175000.0,1.45
46,SOLUCIONES GAIA,Techos Verdes,SSP3 7.0,2020-2040,529560.0,36.0
47,SOLUCIONES GAIA,Revision y Mantenimiento,SSP3 7.0,2020-2040,14733.0,1.8
48,SOLUCIONES GAIA,Refuerzo Estructural,SSP3 7.0,2020-2040,25623.0,1.8
49,SOLUCIONES GAIA,Muros de contención natural,SSP3 7.0,2020-2040,42885.0,1.8
50,SOLUCIONES GAIA,Techos Verdes,SSP3 7.0,2020-2040,426590.0,29.0
51,SOLUCIONES GAIA,Revision y Mantenimiento,SSP3 7.0,2020-2040,11868.25,1.45
52,SOLUCIONES GAIA,Refuerzo Estructural,SSP3 7.0,2020-2040,20640.75,1.45
53,SOLUCIONES GAIA,Muros de contención natural,SSP3 7.0,2020-2040,34546.25,1.45
54,SOLUCIONES ITCO,Revegetalización,SSP3 7.0,2040-2060,375000.0,25.0
55,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP3 7.0,2040-2060,43750.0,1.25
56,SOLUCIONES ITCO,Monitoreo,SSP3 7.0,2040-2060,1875.0,1.25
57,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP3 7.0,2040-2060,250000.0,1.25
58,SOLUCIONES ITCO,Obras mayores (Variantes),SSP3 7.0,2040-2060,1875000.0,1.25
59,SOLUCIONES ITCO,Revegetalización,SSP3 7.0,2040-2060,270000.0,18.0
60,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP3 7.0,2040-2060,31500.0,0.9
61,SOLUCIONES ITCO,Monitoreo,SSP3 7.0,2040-2060,1350.0,0.9
62,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP3 7.0,2040-2060,180000.0,0.9
63,SOLUCIONES ITCO,Obras mayores (Variantes),SSP3 7.0,2040-2060,1350000.0,0.9
64,SOLUCIONES GAIA,Techos Verdes,SSP3 7.0,2040-2060,367750.0,25.0
65,SOLUCIONES GAIA,Revision y Mantenimiento,SSP3 7.0,2040-2060,10231.25,1.25
66,SOLUCIONES GAIA,Refuerzo Estructural,SSP3 7.0,2040-2060,17793.75,1.25
67,SOLUCIONES GAIA,Muros de contención natural,SSP3 7.0,2040-2060,29781.25,1.25
68,SOLUCIONES GAIA,Techos Verdes,SSP3 7.0,2040-2060,264780.0,18.0
69,SOLUCIONES GAIA,Revision y Mantenimiento,SSP3 7.0,2040-2060,7366.5,0.9
70,SOLUCIONES GAIA,Refuerzo Estructural,SSP3 7.0,2040-2060,12811.5,0.9
71,SOLUCIONES GAIA,Muros de contención natural,SSP3 7.0,2040-2060,21442.5,0.9
72,SOLUCIONES ITCO,Revegetalización,SSP5 8.5,2020-2040,838500.0000000001,55.900000000000006
73,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP5 8.5,2020-2040,97825.00000000001,2.7950000000000004
74,SOLUCIONES ITCO,Monitoreo,SSP5 8.5,2020-2040,4192.5,2.795
75,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP5 8.5,2020-2040,559000.0,2.795
76,SOLUCIONES ITCO,Obras mayores (Variantes),SSP5 8.5,2020-2040,4192500.0000000005,2.7950000000000004
77,SOLUCIONES ITCO,Revegetalización,SSP5 8.5,2020-2040,4455000.0,297.0
78,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP5 8.5,2020-2040,519750.0,14.85
79,SOLUCIONES ITCO,Monitoreo,SSP5 8.5,2020-2040,22275.0,14.85
80,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP5 8.5,2020-2040,2970000.0,14.85
81,SOLUCIONES ITCO,Obras mayores (Variantes),SSP5 8.5,2020-2040,22275000.0,14.85
82,SOLUCIONES GAIA,Techos Verdes,SSP5 8.5,2020-2040,822289.0000000001,55.900000000000006
83,SOLUCIONES GAIA,Revision y Mantenimiento,SSP5 8.5,2020-2040,22877.075,2.795
84,SOLUCIONES GAIA,Refuerzo Estructural,SSP5 8.5,2020-2040,39786.825000000004,2.7950000000000004
85,SOLUCIONES GAIA,Muros de contención natural,SSP5 8.5,2020-2040,66590.875,2.795
86,SOLUCIONES GAIA,Techos Verdes,SSP5 8.5,2020-2040,4368870.0,297.0
87,SOLUCIONES GAIA,Revision y Mantenimiento,SSP5 8.5,2020-2040,121547.25,14.85
88,SOLUCIONES GAIA,Refuerzo Estructural,SSP5 8.5,2020-2040,211389.75,14.85
89,SOLUCIONES GAIA,Muros de contención natural,SSP5 8.5,2020-2040,353801.25,14.85
90,SOLUCIONES ITCO,Revegetalización,SSP5 8.5,2040-2060,406500.0,27.1
91,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP5 8.5,2040-2060,47425.0,1.355
92,SOLUCIONES ITCO,Monitoreo,SSP5 8.5,2040-2060,2032.5,1.355
93,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP5 8.5,2040-2060,271000.0,1.355
94,SOLUCIONES ITCO,Obras mayores (Variantes),SSP5 8.5,2040-2060,2032500.0,1.355
95,SOLUCIONES ITCO,Revegetalización,SSP5 8.5,2040-2060,8955000.0,597.0
96,SOLUCIONES ITCO,"Obra Menor (Trinchos, Cunetas, etc)",SSP5 8.5,2040-2060,1044750.0,29.85
97,SOLUCIONES ITCO,Monitoreo,SSP5 8.5,2040-2060,44775.0,29.85
98,SOLUCIONES ITCO,Obras mayores (Recimentaciones y muros),SSP5 8.5,2040-2060,5970000.0,29.85
99,SOLUCIONES ITCO,Obras mayores (Variantes),SSP5 8.5,2040-2060,44775000.0,29.85
100,SOLUCIONES GAIA,Techos Verdes,SSP5 8.5,2040-2060,398641.0,27.1
101,SOLUCIONES GAIA,Revision y Mantenimiento,SSP5 8.5,2040-2060,11090.675000000001,1.3550000000000002
102,SOLUCIONES GAIA,Refuerzo Estructural,SSP5 8.5,2040-2060,19288.425,1.355
103,SOLUCIONES GAIA,Muros de contención natural,SSP5 8.5,2040-2060,32282.875,1.355
104,SOLUCIONES GAIA,Techos Verdes,SSP5 8.5,2040-2060,8781870.0,597.0
105,SOLUCIONES GAIA,Revision y Mantenimiento,SSP5 8.5,2040-2060,244322.25,29.85
106,SOLUCIONES GAIA,Refuerzo Estructural,SSP5 8.5,2040-2060,424914.75,29.85
107,SOLUCIONES GAIA,Muros de contención natural,SSP5 8.5,2040-2060,711176.25,29.85
